Cas: 5.13, X: 64.87, Y: 85.15, V_X: -1.00, V_Y: -2.90, P: 17.25, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.16, X: 64.84, Y: 85.04, V_X: -1.00, V_Y: -3.17, P: 17.25, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.21, X: 64.79, Y: 84.89, V_X: -1.00, V_Y: -2.92, P: 17.20, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.24, X: 64.76, Y: 84.81, V_X: -1.00, V_Y: -3.09, P: 17.20, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.27, X: 64.73, Y: 84.71, V_X: -1.00, V_Y: -2.91, P: 17.17, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.31, X: 64.69, Y: 84.59, V_X: -1.00, V_Y: -3.17, P: 17.17, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.36, X: 64.64, Y: 84.44, V_X: -1.00, V_Y: -2.92, P: 17.12, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.38, X: 64.62, Y: 84.37, V_X: -1.00, V_Y: -3.09, P: 17.12, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.42, X: 64.58, Y: 84.27, V_X: -1.00, V_Y: -2.92, P: 17.08, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.45, X: 64.55, Y: 84.16, V_X: -1.00, V_Y: -3.16, P: 17.08, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.50, X: 64.50, Y: 84.02, V_X: -1.00, V_Y: -2.92, P: 17.03, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.52, X: 64.48, Y: 83.95, V_X: -1.00, V_Y: -3.09, P: 17.03, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.56, X: 64.44, Y: 83.84, V_X: -1.00, V_Y: -2.91, P: 17.00, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.60, X: 64.40, Y: 83.73, V_X: -1.00, V_Y: -3.15, P: 17.00, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.64, X: 64.36, Y: 83.59, V_X: -1.00, V_Y: -2.92, P: 16.95, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.67, X: 64.33, Y: 83.52, V_X: -1.00, V_Y: -3.09, P: 16.95, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.70, X: 64.30, Y: 83.41, V_X: -1.00, V_Y: -2.90, P: 16.92, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.74, X: 64.26, Y: 83.30, V_X: -1.00, V_Y: -3.16, P: 16.92, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.79, X: 64.21, Y: 83.15, V_X: -1.00, V_Y: -2.92, P: 16.87, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.81, X: 64.19, Y: 83.08, V_X: -1.00, V_Y: -3.09, P: 16.87, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.85, X: 64.15, Y: 82.97, V_X: -1.00, V_Y: -2.91, P: 16.83, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.88, X: 64.12, Y: 82.87, V_X: -1.00, V_Y: -3.15, P: 16.83, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.93, X: 64.07, Y: 82.73, V_X: -1.00, V_Y: -2.92, P: 16.79, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 5.95, X: 64.05, Y: 82.66, V_X: -1.00, V_Y: -3.08, P: 16.79, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 5.99, X: 64.01, Y: 82.55, V_X: -1.00, V_Y: -2.91, P: 16.75, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 6.02, X: 63.98, Y: 82.44, V_X: -1.00, V_Y: -3.17, P: 16.75, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 6.07, X: 63.93, Y: 82.29, V_X: -1.00, V_Y: -2.92, P: 16.70, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 6.09, X: 63.91, Y: 82.22, V_X: -1.00, V_Y: -3.09, P: 16.70, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 6.13, X: 63.87, Y: 82.11, V_X: -1.00, V_Y: -2.91, P: 16.67, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 6.17, X: 63.83, Y: 82.00, V_X: -1.00, V_Y: -3.17, P: 16.67, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
Cas: 6.21, X: 63.79, Y: 81.86, V_X: -1.00, V_Y: -2.93, P: 16.62, L: 120.00, R: 160.00, nahoru: 0, doleva: 0, doprava: 0
Cas: 6.24, X: 63.76, Y: 81.79, V_X: -1.00, V_Y: -3.09, P: 16.62, L: 120.00, R: 160.00, nahoru: 1, doleva: 0, doprava: 0
